Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price,Location_Encoded,Condition_Encoded,Garage_Binary,Predicted_Price
1,1360,5,4,3,1970,Downtown,Excellent,No,149919,0,0,0,552843.4128309584
2,4272,5,4,3,1958,Downtown,Excellent,No,424998,0,0,0,550372.8809985481
3,3592,2,2,3,1938,Downtown,Good,No,266746,0,2,0,562695.1761740146
4,966,4,2,2,1902,Suburban,Fair,Yes,244020,2,1,1,537543.2661544468
5,4926,1,4,2,1975,Downtown,Fair,Yes,636056,0,1,1,529139.7259398852
6,3944,1,2,1,1906,Urban,Poor,No,93262,3,3,0,501217.4144249141
7,3671,1,1,2,1948,Rural,Poor,Yes,448722,1,3,1,548645.1355038739
8,3419,2,4,1,1925,Suburban,Good,Yes,594893,2,2,1,492840.0185539876
9,630,2,2,1,1932,Rural,Poor,Yes,652878,1,3,1,514567.0861592164
10,2185,3,3,1,2000,Downtown,Poor,No,340375,0,3,0,510551.4946751154
11,1269,1,4,2,1947,Suburban,Poor,Yes,653685,2,3,1,517081.0364697091
12,2891,4,4,3,1978,Urban,Excellent,Yes,127123,3,0,1,549141.3731669307
13,2933,4,3,2,1901,Downtown,Poor,No,849947,0,3,0,522893.4604311809
14,1684,1,1,1,2004,Rural,Good,No,399355,1,2,0,530789.0625056545
15,3885,1,3,1,1970,Urban,Fair,Yes,481838,3,1,1,507524.2786749557
16,4617,1,4,2,1931,Downtown,Poor,No,853032,0,3,0,515294.9189250934
17,3404,2,1,1,1903,Urban,Fair,Yes,208964,3,1,1,520159.9175402892
18,974,2,2,1,1919,Downtown,Poor,Yes,905742,0,3,1,515550.28319209494
19,1582,2,2,2,2013,Suburban,Good,No,989305,2,2,0,543109.249725589
20,3058,5,2,2,2016,Downtown,Excellent,No,218767,0,0,0,553588.8491117444
21,2547,4,4,2,1935,Suburban,Good,Yes,996357,2,2,1,518212.6203981504
22,3247,4,3,1,1931,Downtown,Excellent,No,709789,0,0,0,510233.40515619336
23,1475,3,1,1,1927,Downtown,Poor,No,709966,0,3,0,522466.7134401164
24,2306,2,2,3,1976,Rural,Poor,Yes,447694,1,3,1,566169.8766466308
25,689,5,1,3,1900,Urban,Excellent,Yes,688668,3,0,1,571131.3439295633
26,3234,5,4,2,1959,Urban,Good,Yes,527032,3,2,1,518204.7127863894
27,3505,4,2,3,1955,Urban,Good,Yes,745494,3,2,1,561026.6793130582
28,2399,2,4,1,1934,Downtown,Excellent,Yes,513179,0,0,1,504556.4043233087
29,1767,3,3,3,2011,Downtown,Poor,Yes,948212,0,3,1,563099.0689169446
30,2028,2,4,1,1929,Downtown,Excellent,No,206547,0,0,0,500279.4804200484
31,3702,1,4,2,1953,Suburban,Poor,No,902609,2,3,0,512965.2932034107
32,4056,2,3,2,1935,Suburban,Excellent,Yes,727090,2,0,1,532450.9382972076
33,4390,1,1,1,2020,Rural,Poor,No,202185,1,3,0,528975.0111518706
34,1146,1,3,3,1954,Downtown,Excellent,No,725371,0,0,0,560524.6096901487
35,3388,3,3,2,1988,Urban,Fair,Yes,105746,3,1,1,533653.7045635906
36,2935,4,4,2,1979,Urban,Poor,No,959507,3,3,0,514006.85557665833
37,1100,2,1,3,1957,Rural,Good,No,748213,1,2,0,573144.913292889
38,2863,1,2,3,1982,Urban,Excellent,Yes,921627,3,0,1,569067.8867095936
39,2561,2,3,1,1964,Rural,Good,No,873250,1,2,0,506216.58723987936
40,741,4,1,3,1968,Downtown,Excellent,No,218393,0,0,0,582518.5163223908
41,2541,4,3,3,1950,Urban,Good,Yes,333453,3,2,1,550902.3451194854
42,3324,5,3,3,1921,Downtown,Good,No,986192,0,2,0,551350.1130407274
43,3112,4,3,1,1987,Suburban,Excellent,No,340320,2,0,0,511433.0163851635
44,1863,3,3,1,2006,Urban,Excellent,No,643167,3,0,0,511340.6070572769
45,1978,1,4,2,2008,Suburban,Good,Yes,641880,2,2,1,526254.2201047415
46,3056,5,1,1,2015,Urban,Good,Yes,396872,3,2,1,530729.0207866525
47,1275,3,1,2,2000,Downtown,Good,No,270084,0,2,0,556986.5104464602
48,4514,2,1,3,1952,Rural,Poor,No,976920,1,3,0,568693.7969885825
49,534,1,3,2,1999,Downtown,Poor,Yes,771782,0,3,1,538310.2107260093
50,3652,4,4,2,1935,Downtown,Fair,Yes,845016,0,1,1,525522.798688798
51,2455,1,3,3,1967,Downtown,Poor,No,698843,0,3,0,553757.6245033238
52,2085,2,3,2,1935,Urban,Poor,Yes,405446,3,3,1,522901.03955439775
53,4443,5,1,1,1951,Rural,Excellent,No,958840,1,0,0,529442.8586487694
54,3573,5,3,1,1952,Suburban,Fair,No,593118,2,1,0,504870.9678658949
55,1521,5,2,1,1981,Downtown,Fair,Yes,266897,0,1,1,527872.4914280189
56,3961,4,3,1,1949,Urban,Poor,Yes,826522,3,3,1,500376.29856130417
57,3113,3,2,2,1979,Suburban,Excellent,No,913498,2,0,0,543976.5531276522
58,4343,3,3,2,1940,Downtown,Excellent,No,840023,0,0,0,534338.8960685357
59,2000,1,4,3,1917,Suburban,Fair,Yes,143878,2,1,1,542219.3999631652
60,661,4,4,2,1921,Downtown,Excellent,No,175407,0,0,0,523815.1989805862
61,4797,5,1,2,1965,Suburban,Good,Yes,691157,2,2,1,550654.3388910923
62,2481,5,3,2,1920,Suburban,Poor,Yes,307716,2,3,1,524037.1820730714
63,1495,2,2,3,1999,Rural,Good,Yes,857827,1,2,1,571647.7442805833
64,3842,2,2,1,1943,Rural,Fair,Yes,66738,1,1,1,519723.4332142772
65,4298,5,3,2,2002,Downtown,Fair,Yes,183703,0,1,1,542884.3623556882
66,1775,5,2,3,1946,Urban,Excellent,No,723265,3,0,0,562106.2540105492
67,1516,4,4,3,1938,Rural,Excellent,Yes,593344,1,0,1,550323.9575676983
68,837,3,2,3,1928,Suburban,Fair,Yes,815034,2,1,1,564034.0411520188
69,1378,2,1,1,1953,Rural,Fair,Yes,560241,1,1,1,531728.281019589
70,1576,3,4,2,1989,Rural,Good,Yes,433800,1,2,1,527113.8520221038
71,4493,4,4,3,1984,Downtown,Good,Yes,689604,0,2,1,551787.7352984927
72,879,5,4,1,1916,Rural,Excellent,Yes,740807,1,0,1,500932.176485292
73,992,3,3,3,1979,Rural,Good,Yes,628706,1,2,1,559789.6982586867
74,2562,5,3,3,1959,Suburban,Excellent,No,873622,2,0,0,555915.5364625911
75,4384,5,4,3,1930,Rural,Excellent,No,76014,1,0,0,544597.1122936949
76,564,1,3,3,2014,Suburban,Poor,No,778359,2,3,0,554618.5303583074
77,3068,3,2,3,1972,Rural,Excellent,No,813277,1,0,0,569430.8146502309
78,2527,3,3,1,1994,Rural,Good,Yes,231350,1,2,1,513597.3216651919
79,3195,5,3,2,1977,Urban,Fair,No,961995,3,1,0,528898.1102670736
80,1995,4,4,2,1948,Rural,Fair,Yes,838212,1,1,1,525044.2047183361
81,891,1,1,2,2000,Suburban,Good,No,534859,2,2,0,551709.7820890568
82,4974,5,1,2,1901,Suburban,Fair,No,764618,2,1,0,542098.3513350323
83,4061,2,1,1,2015,Downtown,Excellent,Yes,540339,0,0,1,542834.8789122964
84,2778,2,2,1,1947,Downtown,Fair,Yes,92192,0,1,1,523162.24362440547
85,3599,1,3,1,2009,Urban,Good,No,941307,3,2,0,505593.8830389228
86,700,4,1,3,1913,Suburban,Fair,No,411273,2,1,0,568605.4564817441
87,3604,5,4,3,1958,Suburban,Excellent,No,93923,2,0,0,545470.7409713726
88,2954,3,1,3,1996,Suburban,Excellent,No,663484,2,0,0,579529.7436897618
89,4145,1,1,2,1998,Urban,Good,Yes,576683,3,2,1,551510.9770634644
90,1304,4,3,3,1957,Suburban,Good,No,414593,2,2,0,550889.0790844185
91,3231,3,3,2,2002,Downtown,Good,No,433891,0,2,0,536596.5822602062
